size, threads, warps, time (s)
2048, 32, 1, 0.144711
2048, 64, 2, 0.071979
2048, 128, 4, 0.036724
2048, 256, 8, 0.019705
2048, 512, 16, 0.012878
2048, 1024, 32, 0.011607
